Time in ms;Wheel1_cw_count;Wheel1_ccw_count;Wheel2_cw_count;Wheel2_ccw_count
122;0;0;0;0
5256;0;0;0;0
10263;0;0;0;0
15274;0;0;0;0
20283;0;0;0;0
25288;0;0;0;0
30294;0;0;0;0
35305;0;0;1;0
40309;0;0;1;0
45331;0;0;1;0
50337;0;0;1;1
55352;0;0;1;1
60355;0;0;1;1
65358;0;0;1;1
70381;0;0;1;1
75388;0;1;1;1
80394;1;1;1;1
85404;1;1;1;1
90412;1;1;1;1
95423;1;1;1;1
100438;1;1;1;1
105455;1;1;1;1
110464;1;1;1;1
115470;1;1;1;1
120473;1;1;1;1
125482;1;1;1;1
130490;1;2;1;1
135504;2;2;1;1
140513;2;2;1;1
145517;2;2;1;1
150530;2;2;1;1
155541;2;3;1;1
160550;2;3;1;1
165560;2;3;1;1
170567;2;3;1;1
175582;2;3;1;1
180599;2;3;1;1
185606;2;3;1;1
190622;2;3;1;1
195637;3;3;1;1
200644;3;3;1;1
205660;3;3;1;1
210671;3;5;2;1
215682;3;8;2;1
220695;4;8;4;1
225711;4;8;6;1
230727;4;8;6;1
235744;4;8;6;1
240761;4;8;6;1
245775;4;8;6;1
250791;4;8;6;1
255801;4;8;6;1
260812;4;8;6;1
265821;4;8;6;1
270837;4;8;6;1
275840;4;8;6;1
280848;4;8;6;4
285850;4;8;6;5
290856;4;8;6;5
295873;4;8;6;5
300879;4;8;6;5
305883;4;8;6;5
310899;4;8;6;5
315911;4;8;6;5
320917;4;8;6;5
325932;4;8;6;5
330941;4;8;6;5
335957;4;8;6;5
340961;4;8;6;5
345973;4;8;6;5
350985;4;8;6;5
355998;4;8;6;5
361014;4;8;6;5
366021;4;8;6;5
371026;4;8;6;5
376040;4;8;6;5
381043;4;8;6;5
386049;4;8;6;5
391066;4;8;6;5
396080;5;9;6;5
401088;9;9;8;5
406100;9;9;9;5
411111;9;9;10;5
416125;9;9;10;5
421137;9;9;10;5
426147;9;9;11;5
431152;9;9;12;5
436170;9;9;13;5
441184;9;9;13;5
446198;9;9;13;5
451212;9;9;16;5
456223;9;9;17;5
461237;9;9;18;5
466253;9;9;18;5
471264;9;9;18;5
476273;9;9;18;5
481278;9;9;18;5
486281;9;9;18;5
491286;9;9;18;5
496303;9;9;18;5
501307;9;9;18;5
506316;9;9;18;5
511331;9;9;18;5
516336;9;9;18;5
521348;9;9;18;5
526360;9;9;18;5
531362;9;9;18;5
536369;9;9;18;5
541380;9;9;18;5
546388;9;9;18;5
551402;9;9;18;5
556416;9;9;18;5
561441;9;9;18;5
566445;9;9;18;5
571457;9;9;18;5
576466;9;9;18;6
581482;9;9;18;6
586496;9;9;18;6
591509;9;9;18;6
596523;9;9;18;6
601536;9;9;18;6
606541;9;9;18;6
611551;9;9;18;6
616565;9;9;19;7
621571;9;9;19;7
626588;9;9;19;7
631595;9;14;19;11
636612;9;14;19;12
641616;9;14;19;15
646630;9;14;19;19
651643;9;14;19;19
656659;9;14;19;19
661661;9;14;19;19
666669;9;14;19;19
671686;10;14;19;19
676703;10;14;19;19
681709;10;14;19;19
686714;10;14;19;19
691721;10;14;19;19
696731;10;14;19;19
701736;10;14;19;19
706739;10;14;19;19
711751;11;14;19;19
716759;12;15;19;19
721763;14;15;19;19
726772;14;15;19;19
731776;17;16;19;19
736793;17;16;19;19
741801;17;18;19;22
746808;18;18;21;22
751816;18;18;22;22
756827;18;18;22;22
761840;18;18;22;22
766846;19;18;22;22
771857;22;18;22;22
776859;26;18;22;22
781872;27;19;22;22
786881;28;20;22;22
791900;28;20;22;22
796916;28;20;22;22
801921;28;20;22;22
806939;28;20;23;22
811949;28;20;23;23
816973;28;20;23;23
821987;28;20;23;23
827000;28;20;23;23
832017;28;20;23;23
837020;28;20;23;23
842028;28;20;24;23
847041;28;20;24;23
852056;28;20;24;25
857071;28;20;25;25
862078;28;20;25;25
867095;28;20;25;25
872099;28;20;25;25
877109;28;20;25;25
882126;28;20;25;25
887137;28;20;25;25
892140;28;20;25;25
897157;28;20;25;25
902167;28;20;25;25
907171;28;20;27;25
912186;28;20;28;25
917204;28;20;28;25
922213;28;20;29;25
927218;28;20;29;25
932221;28;20;29;25
937226;28;20;29;25
942242;28;20;29;25
947255;28;20;29;25
952265;28;20;29;25
957270;28;20;29;25
962287;28;20;29;25
967309;28;20;29;25
972320;28;20;29;25
977330;28;20;29;25
982353;28;20;29;25
987368;28;20;29;25
992376;28;20;29;25
997384;28;20;29;25
1002389;28;20;29;25
1007392;28;20;29;25
1012401;28;20;29;25
1017418;28;20;29;25
1022420;28;20;29;25
1027424;28;20;29;25
1032428;28;20;29;25
1037441;28;20;29;25
1042458;28;20;29;25
1047476;28;20;29;25
1052498;28;20;29;25
1057504;28;20;29;25
1062510;28;20;29;25
1067516;28;20;29;25
1072529;28;20;29;25
1077546;31;20;29;25
1082555;40;20;29;25
1087568;46;20;29;25
1092583;49;20;29;25
1097599;49;22;29;25
1102612;50;22;30;30
1107628;55;22;31;30
1112639;64;22;31;31
1117655;74;22;31;31
1122671;81;22;31;31
1127681;83;22;31;31
1132692;84;24;31;31
1137707;84;24;31;31
1142723;84;24;31;31
1147732;84;24;31;31
1152754;84;24;31;31
1157765;84;24;31;31
1162782;84;24;32;31
1167789;84;24;34;31
1172806;84;24;35;31
1177819;84;24;35;31
1182821;84;24;35;31
1187829;84;24;35;31
1192841;84;24;37;32
1197849;84;24;37;32
1202856;84;24;37;32
1207869;84;24;37;32
1212871;86;25;37;32
1217882;92;25;37;32
1222895;98;25;37;32
1227899;101;25;37;32
1232906;101;25;37;32
1237917;101;25;37;32
1242934;101;25;37;32
1247939;101;25;37;32
1252953;101;25;37;32
1257961;101;25;37;32
1262977;101;25;37;32
1267992;101;25;37;32
1273001;101;25;37;32
1278003;101;25;37;32
1283019;101;25;37;32
1288032;101;25;37;32
1293036;101;25;37;32
1298037;101;25;37;32
1303040;101;25;37;32
1308046;101;25;37;32
1313068;101;25;37;32
1318080;101;25;37;32
1323084;101;25;37;32
1328098;101;25;37;32
1333107;101;25;37;32
1338122;101;25;37;32
1343140;101;25;37;32
1348157;101;25;37;32
1353169;101;25;37;32
1358183;101;26;37;33
1363189;102;26;37;33
1368193;102;26;37;33
1373214;102;26;37;36
1378226;102;26;37;37
1383230;102;26;37;37
1388241;102;26;37;37
1393243;102;27;37;37
1398259;103;27;37;37
1403275;103;27;37;37
1408286;103;27;37;37
1413293;103;27;37;37
