Time in ms;Wheel1_cw_count;Wheel1_ccw_count;Wheel2_cw_count;Wheel2_ccw_count
130;0;0;0;0
5252;0;0;0;0
10273;0;0;0;0
15277;0;0;0;0
20280;0;0;0;0
25292;0;0;0;0
30300;0;0;0;0
35305;0;0;0;0
40315;0;0;0;0
45322;0;0;0;0
50332;0;0;0;0
55346;0;0;0;0
60353;0;1;0;0
65362;0;1;0;0
70376;0;1;0;0
75380;0;1;0;0
80384;0;1;0;0
85396;0;1;0;0
90409;0;1;0;0
95420;0;1;0;0
100431;0;1;0;0
105437;0;1;0;0
110443;0;1;0;0
115447;1;1;0;0
120463;1;1;0;0
125474;1;1;0;0
130481;1;1;0;0
135496;1;1;0;0
140510;1;1;0;0
145521;1;1;0;1
150527;1;1;0;1
155540;1;1;0;1
160552;1;1;0;1
165559;1;1;0;1
170570;1;1;0;1
175573;1;1;0;10
180586;1;1;0;21
185588;1;1;0;33
190602;1;1;0;47
195611;1;1;0;61
200618;1;1;1;64
205632;1;2;1;64
210644;1;2;1;64
215650;1;2;1;64
220667;1;2;1;65
225670;1;2;1;70
230673;1;2;1;88
235684;1;2;1;89
240693;1;2;1;89
245698;1;2;1;89
250713;1;2;1;89
255720;1;2;1;89
260723;1;2;1;89
265738;1;2;1;89
270748;1;2;1;89
275757;1;2;1;91
280760;1;2;1;91
285771;1;2;1;91
290774;1;2;1;94
295786;1;2;1;97
300798;1;2;3;97
305809;1;2;5;97
310816;1;2;5;97
315826;1;2;5;101
320843;1;3;5;108
325851;1;3;8;108
330867;1;3;8;108
335887;1;3;8;108
340897;1;3;8;108
345906;1;3;8;108
350929;1;3;8;108
355934;1;3;8;108
360945;1;3;8;108
365962;1;3;8;108
370976;1;3;8;108
375981;1;3;8;108
380995;1;3;8;108
385999;1;3;8;108
391015;1;3;8;108
396022;1;3;8;111
401033;1;3;8;111
406050;1;3;8;111
411059;1;4;8;111
416072;1;4;8;114
421079;1;4;8;114
426081;1;4;8;114
431088;1;4;8;114
436104;1;4;8;114
441126;1;4;8;114
446141;1;4;8;114
451146;1;4;8;114
456163;1;4;8;114
461173;1;4;8;114
466184;1;4;8;114
471189;1;4;8;114
476203;1;4;8;114
481221;1;4;8;114
486226;1;4;8;114
491242;1;4;8;114
496259;1;4;8;114
501265;1;4;8;114
506271;1;4;8;114
511280;1;4;8;114
516285;1;4;8;114
521291;1;4;8;114
526307;1;5;8;114
531322;1;5;8;114
536325;1;5;8;114
541338;1;5;8;114
546354;1;5;8;115
551366;1;5;8;115
556378;1;5;8;115
561389;1;5;8;115
566396;1;5;8;115
571397;1;5;8;115
576409;1;5;8;115
581424;1;5;8;117
586432;1;5;8;117
591437;1;5;8;117
596452;1;5;8;117
601464;1;5;8;117
606473;1;5;8;117
611489;1;5;8;117
616498;1;5;8;117
621507;1;5;8;117
626521;1;5;8;117
631539;1;5;8;117
