Time in ms;Wheel1_cw_count;Wheel1_ccw_count;Wheel2_cw_count;Wheel2_ccw_count
5001;0;0;0;0
10516;0;0;0;0
16031;0;0;0;0
21546;0;0;0;0
27061;0;0;0;0
32576;0;0;0;0
38091;0;0;0;0
43606;0;0;0;0
49121;0;0;0;0
54636;0;0;0;0
60151;0;0;0;0
65666;0;0;0;0
71181;0;0;0;0
76696;0;0;0;0
82211;0;0;0;0
87726;0;0;0;0
93241;0;0;0;0
98756;0;0;0;0
104271;0;0;0;0
109786;0;0;0;0
115301;0;0;0;0
120816;4;0;0;0
126331;4;0;0;0
131846;4;0;0;0
137361;4;0;0;0
142876;4;0;0;0
148391;4;0;0;0
153906;4;0;0;0
159421;4;0;0;0
164936;4;0;0;0
170451;4;0;0;0
175969;4;0;0;0
181484;4;0;0;0
186999;4;0;0;0
192514;4;0;0;0
198029;4;0;0;0
203544;4;0;0;0
209059;4;0;0;0
214574;4;0;0;0
220089;4;0;0;0
225604;4;0;0;0
231119;4;0;0;0
236634;4;0;0;0
242149;4;0;0;0
247664;4;0;1;0
253179;4;0;1;0
258694;4;0;1;0
264209;4;0;1;0
269724;4;0;1;0
275239;4;0;1;0
280754;4;0;1;0
286269;4;0;1;0
291784;4;0;1;0
297299;4;0;1;2
302814;4;0;1;3
308329;4;0;1;7
313844;4;0;1;13
319359;4;0;1;16
324874;5;0;1;17
330389;5;0;1;17
335904;5;0;1;17
341419;5;1;1;17
346934;5;1;1;17
352449;5;1;1;17
357967;5;1;1;17
363482;5;1;1;17
368998;5;1;1;17
374513;5;1;1;17
380029;5;1;1;17
385544;5;1;1;24
391060;5;1;1;24
396575;5;1;1;24
402091;5;1;1;24
407606;5;1;1;24
413128;5;1;1;24
418643;5;1;1;24
424158;5;1;1;24
429673;5;1;1;24
435188;5;1;1;24
440703;5;1;1;24
446218;5;1;1;24
451733;5;1;1;24
457248;5;1;1;24
462763;5;1;1;24
468278;5;1;1;24
473793;5;1;1;24
479308;5;1;1;24
484823;5;1;1;24
490339;5;1;1;24
495854;5;1;1;24
501369;5;1;1;24
506884;5;1;1;24
512399;5;1;1;24
517914;5;1;1;24
523429;5;1;1;24
528944;5;1;1;24
534462;5;1;1;24
539977;5;1;1;24
545492;5;1;1;24
551007;5;1;1;34
556522;5;1;1;39
562038;5;1;1;41
567553;5;1;1;41
573068;5;1;1;41
578583;5;1;1;41
584098;5;1;1;41
589613;5;1;1;41
595129;5;1;1;41
